,train_losses,valid_losses
159,{'mean_absolute_error': 1.4479705062806003},{'mean_absolute_error': 1.287009138412616}
160,{'mean_absolute_error': 1.5152821324593777},{'mean_absolute_error': 1.362179421872464}
161,{'mean_absolute_error': 1.3640101096912476},{'mean_absolute_error': 1.2249455348970966}
162,{'mean_absolute_error': 1.3874125776440795},{'mean_absolute_error': 1.2448550019062306}
163,{'mean_absolute_error': 1.4330428865969411},{'mean_absolute_error': 1.279355950511976}
164,{'mean_absolute_error': 1.4562271378307},{'mean_absolute_error': 1.3011701991157834}
165,{'mean_absolute_error': 1.3404231211905762},{'mean_absolute_error': 1.176631670711506}
166,{'mean_absolute_error': 1.514885909580406},{'mean_absolute_error': 1.3614525423163661}
167,{'mean_absolute_error': 1.4469290253739506},{'mean_absolute_error': 1.2901817906857902}
168,{'mean_absolute_error': 1.4168904872459447},{'mean_absolute_error': 1.2525812647377481}
169,{'mean_absolute_error': 1.606252977988377},{'mean_absolute_error': 1.4462075703168633}
170,{'mean_absolute_error': 1.409446583417162},{'mean_absolute_error': 1.2312596904124693}
171,{'mean_absolute_error': 1.3731879586358933},{'mean_absolute_error': 1.2244725866671016}
172,{'mean_absolute_error': 1.4604879931569579},{'mean_absolute_error': 1.32235618899158}
173,{'mean_absolute_error': 1.3549421688696424},{'mean_absolute_error': 1.1971248488934445}
174,{'mean_absolute_error': 1.4235237889224202},{'mean_absolute_error': 1.267859492665681}
175,{'mean_absolute_error': 1.3959132370782126},{'mean_absolute_error': 1.237977460610144}
176,{'mean_absolute_error': 1.4581162577823503},{'mean_absolute_error': 1.3071799026382114}
177,{'mean_absolute_error': 1.3703495781758823},{'mean_absolute_error': 1.2157025514639648}
178,{'mean_absolute_error': 1.4659894529810478},{'mean_absolute_error': 1.3210342130531898}
179,{'mean_absolute_error': 1.41128472713347},{'mean_absolute_error': 1.2594771088822219}
180,{'mean_absolute_error': 1.4609713980940324},{'mean_absolute_error': 1.316940789268825}
181,{'mean_absolute_error': 1.4658112997091717},{'mean_absolute_error': 1.2919844285406765}
182,{'mean_absolute_error': 1.4973194127318068},{'mean_absolute_error': 1.3406015261759603}
183,{'mean_absolute_error': 1.385393646902502},{'mean_absolute_error': 1.2382059664247438}
184,{'mean_absolute_error': 1.3788876231209988},{'mean_absolute_error': 1.2132299890585652}
185,{'mean_absolute_error': 1.5296606499596355},{'mean_absolute_error': 1.382114042055739}
186,{'mean_absolute_error': 1.5020780336797215},{'mean_absolute_error': 1.3488602471944124}
187,{'mean_absolute_error': 1.4043650199156748},{'mean_absolute_error': 1.262376504437385}
188,{'mean_absolute_error': 1.3881789200972472},{'mean_absolute_error': 1.2508712608119958}
189,{'mean_absolute_error': 1.4170763717553279},{'mean_absolute_error': 1.2814196171628727}
190,{'mean_absolute_error': 1.421482885596707},{'mean_absolute_error': 1.2822697411195234}
191,{'mean_absolute_error': 1.438053180038277},{'mean_absolute_error': 1.302730001161572}
192,{'mean_absolute_error': 1.4076320409922645},{'mean_absolute_error': 1.2732011452469354}
193,{'mean_absolute_error': 1.3543154987596244},{'mean_absolute_error': 1.2255909094213864}
194,{'mean_absolute_error': 1.410805246049369},{'mean_absolute_error': 1.2847892335462199}
195,{'mean_absolute_error': 1.4890975954457322},{'mean_absolute_error': 1.367100285806336}
196,{'mean_absolute_error': 1.3620867246303394},{'mean_absolute_error': 1.2221300591905295}
197,{'mean_absolute_error': 1.4371218080289487},{'mean_absolute_error': 1.3193275176500723}
198,{'mean_absolute_error': 1.362139212128939},{'mean_absolute_error': 1.2294992941298284}
199,{'mean_absolute_error': 1.584885099202092},{'mean_absolute_error': 1.445050668138516}
200,{'mean_absolute_error': 1.3618048441034218},{'mean_absolute_error': 1.1979713217307135}
201,{'mean_absolute_error': 1.3773177394584588},{'mean_absolute_error': 1.226630419677409}
202,{'mean_absolute_error': 1.3986305290600967},{'mean_absolute_error': 1.2356797583196344}
203,{'mean_absolute_error': 1.4339244266985067},{'mean_absolute_error': 1.2792969658970017}
204,{'mean_absolute_error': 1.4651437832807532},{'mean_absolute_error': 1.3111353360960953}
205,{'mean_absolute_error': 1.444163323198997},{'mean_absolute_error': 1.2733683152098723}
206,{'mean_absolute_error': 1.3722072198950555},{'mean_absolute_error': 1.2169613073390901}
207,{'mean_absolute_error': 1.411051122603392},{'mean_absolute_error': 1.2562449935305686}
208,{'mean_absolute_error': 1.501298406823344},{'mean_absolute_error': 1.341975545288857}
209,{'mean_absolute_error': 1.3834793584043743},{'mean_absolute_error': 1.220829587471917}
210,{'mean_absolute_error': 1.4451240168603974},{'mean_absolute_error': 1.2846678028409129}
211,{'mean_absolute_error': 1.4724045771939174},{'mean_absolute_error': 1.3032728436843986}
212,{'mean_absolute_error': 1.3317333218156895},{'mean_absolute_error': 1.1727500682997516}
213,{'mean_absolute_error': 1.6120640394662138},{'mean_absolute_error': 1.4800996007858789}
214,{'mean_absolute_error': 1.3561709084690945},{'mean_absolute_error': 1.1996312951947612}
215,{'mean_absolute_error': 1.4530248477138163},{'mean_absolute_error': 1.3235940099864452}
216,{'mean_absolute_error': 1.5544684624042535},{'mean_absolute_error': 1.4039655569540248}
217,{'mean_absolute_error': 1.4736968086665259},{'mean_absolute_error': 1.309019669863291}
218,{'mean_absolute_error': 1.444099944316242},{'mean_absolute_error': 1.3002661162254947}
219,{'mean_absolute_error': 1.3925215571289016},{'mean_absolute_error': 1.2216541841331399}
220,{'mean_absolute_error': 1.4356150588259473},{'mean_absolute_error': 1.2734164449423717}
221,{'mean_absolute_error': 1.4559244303819119},{'mean_absolute_error': 1.3158694346418376}
222,{'mean_absolute_error': 1.3939906927440482},{'mean_absolute_error': 1.2445325961933407}
223,{'mean_absolute_error': 1.4447129785273585},{'mean_absolute_error': 1.3030296651890743}
224,{'mean_absolute_error': 1.4561548758739045},{'mean_absolute_error': 1.3002218994656212}
225,{'mean_absolute_error': 1.4388485990530364},{'mean_absolute_error': 1.2945240139352852}
226,{'mean_absolute_error': 1.407598106773162},{'mean_absolute_error': 1.268363818870016}
227,{'mean_absolute_error': 1.3710863514916491},{'mean_absolute_error': 1.2225598178883763}
228,{'mean_absolute_error': 1.3855750845026547},{'mean_absolute_error': 1.250342641325252}
229,{'mean_absolute_error': 1.4205166634451372},{'mean_absolute_error': 1.2898888346448325}
230,{'mean_absolute_error': 1.5050189132149159},{'mean_absolute_error': 1.373984198986652}
231,{'mean_absolute_error': 1.4015477310251994},{'mean_absolute_error': 1.2650603334439672}
232,{'mean_absolute_error': 1.402902534148286},{'mean_absolute_error': 1.2579823878078087}
233,{'mean_absolute_error': 1.4081089618067006},{'mean_absolute_error': 1.2669485997856944}
234,{'mean_absolute_error': 1.489411297070963},{'mean_absolute_error': 1.3460389295993336}
235,{'mean_absolute_error': 1.3814651421607478},{'mean_absolute_error': 1.2425364012081972}
236,{'mean_absolute_error': 1.3985632286877674},{'mean_absolute_error': 1.2516251682641428}
237,{'mean_absolute_error': 1.454349146679781},{'mean_absolute_error': 1.3024375663025423}
238,{'mean_absolute_error': 1.4495305249440127},{'mean_absolute_error': 1.314126871190125}
239,{'mean_absolute_error': 1.413723065882298},{'mean_absolute_error': 1.2754387818397026}
240,{'mean_absolute_error': 1.3733613945192495},{'mean_absolute_error': 1.2397211685803962}
241,{'mean_absolute_error': 1.4404802645652819},{'mean_absolute_error': 1.2918793491391345}
242,{'mean_absolute_error': 1.3771471613014967},{'mean_absolute_error': 1.2233946657625208}
243,{'mean_absolute_error': 1.5317630609643988},{'mean_absolute_error': 1.4008415350082482}
244,{'mean_absolute_error': 1.355954275641846},{'mean_absolute_error': 1.2095492766190865}
245,{'mean_absolute_error': 1.5058077914375563},{'mean_absolute_error': 1.3608800400642096}
246,{'mean_absolute_error': 1.3291593491040918},{'mean_absolute_error': 1.185705055993095}
247,{'mean_absolute_error': 1.5148572684156096},{'mean_absolute_error': 1.3851039217423715}
248,{'mean_absolute_error': 1.4533638640397555},{'mean_absolute_error': 1.3400129540506178}
249,{'mean_absolute_error': 1.3575992211218095},{'mean_absolute_error': 1.2301237266759524}
250,{'mean_absolute_error': 1.5841338487694652},{'mean_absolute_error': 1.4482551368803414}
251,{'mean_absolute_error': 1.4611401908266346},{'mean_absolute_error': 1.291214140331766}
252,{'mean_absolute_error': 1.4391867785903782},{'mean_absolute_error': 1.2822935084848033}
253,{'mean_absolute_error': 1.441571462772565},{'mean_absolute_error': 1.2848367738004052}
254,{'mean_absolute_error': 1.5087609946647547},{'mean_absolute_error': 1.358344347234521}
255,{'mean_absolute_error': 1.4149175413035493},{'mean_absolute_error': 1.2756806069219488}
256,{'mean_absolute_error': 1.3943146388260017},{'mean_absolute_error': 1.2586425728144095}
257,{'mean_absolute_error': 1.353898482237552},{'mean_absolute_error': 1.2120503120965387}
258,{'mean_absolute_error': 1.469607326485309},{'mean_absolute_error': 1.3358031733302138}
259,{'mean_absolute_error': 1.3698915778210363},{'mean_absolute_error': 1.2290617498050853}
260,{'mean_absolute_error': 1.5004012296912836},{'mean_absolute_error': 1.3644839351341744}
261,{'mean_absolute_error': 1.4374027578258914},{'mean_absolute_error': 1.305963522745967}
