,train_scores_1,valid_scores_1,train_scores_2,valid_scores_2,train_scores_3,valid_scores_3
53,{'mean_absolute_error': 0.6111356071902769},{'mean_absolute_error': 1.171846436423863},{'mean_absolute_error': 0.6298955095037545},{'mean_absolute_error': 1.1049415095748492},{'mean_absolute_error': 0.6149444733733374},{'mean_absolute_error': 1.16568250873222}
54,{'mean_absolute_error': 0.6095696899280155},{'mean_absolute_error': 1.16065959965435},{'mean_absolute_error': 0.6594605882335488},{'mean_absolute_error': 1.1905873597580963},{'mean_absolute_error': 0.6590610566239355},{'mean_absolute_error': 1.152238845070222}
55,{'mean_absolute_error': 0.6356329526558122},{'mean_absolute_error': 1.191312675831443},{'mean_absolute_error': 0.6547129910454587},{'mean_absolute_error': 1.1721927461206505},{'mean_absolute_error': 0.656452947613449},{'mean_absolute_error': 1.1787486409106491}
56,{'mean_absolute_error': 0.5690932849649737},{'mean_absolute_error': 1.1493523983336869},{'mean_absolute_error': 0.6103214181634458},{'mean_absolute_error': 1.1729716551288314},{'mean_absolute_error': 0.6305070590706464},{'mean_absolute_error': 1.1644680464389625}
57,{'mean_absolute_error': 0.5669812959169057},{'mean_absolute_error': 1.1638721140425787},{'mean_absolute_error': 0.621061101810715},{'mean_absolute_error': 1.1609108968401685},{'mean_absolute_error': 0.5825702183559965},{'mean_absolute_error': 1.1115384153577696}
58,{'mean_absolute_error': 0.6203157031096216},{'mean_absolute_error': 1.1680019756363362},{'mean_absolute_error': 0.593183195730677},{'mean_absolute_error': 1.0751308492305103},{'mean_absolute_error': 0.5765962489613106},{'mean_absolute_error': 1.1176550853223657}
59,{'mean_absolute_error': 0.5496233838352148},{'mean_absolute_error': 1.1942215316686808},{'mean_absolute_error': 0.5768754053554987},{'mean_absolute_error': 1.0993358739850674},{'mean_absolute_error': 0.5891328967904041},{'mean_absolute_error': 1.056788836751268}
60,{'mean_absolute_error': 0.5817378705101123},{'mean_absolute_error': 1.1751086201573586},{'mean_absolute_error': 0.6152466373489034},{'mean_absolute_error': 1.0652883115857092},{'mean_absolute_error': 0.5696530481741588},{'mean_absolute_error': 1.1293642546887144}
61,{'mean_absolute_error': 0.526097857593097},{'mean_absolute_error': 1.2039026757581768},{'mean_absolute_error': 0.6613133522914817},{'mean_absolute_error': 1.1996870752521485},{'mean_absolute_error': 0.5583311613524903},{'mean_absolute_error': 1.0867472837058516}
62,{'mean_absolute_error': 0.6034824281257042},{'mean_absolute_error': 1.2070456306379886},{'mean_absolute_error': 0.528085852949188},{'mean_absolute_error': 1.1711284016915227},{'mean_absolute_error': 0.5073856984137182},{'mean_absolute_error': 1.1804178469588373}
63,{'mean_absolute_error': 0.5308477538755232},{'mean_absolute_error': 1.1624070370962811},{'mean_absolute_error': 0.5293666343686161},{'mean_absolute_error': 1.1210215624695192},{'mean_absolute_error': 0.5119110279136956},{'mean_absolute_error': 1.1151501967348445}
64,{'mean_absolute_error': 0.4936676547665727},{'mean_absolute_error': 1.133510246029867},{'mean_absolute_error': 0.5619784914933803},{'mean_absolute_error': 1.1024969402543034},{'mean_absolute_error': 0.5268292269533859},{'mean_absolute_error': 1.1575173791417688}
