,train_scores_1,valid_scores_1,train_scores_2,valid_scores_2,train_scores_3,valid_scores_3
50,{'mean_absolute_error': 3.7728451870747812},{'mean_absolute_error': 3.521362078168001},{'mean_absolute_error': 2.3989269312926798},{'mean_absolute_error': 2.3254324388389827},{'mean_absolute_error': 2.3830347474216045},{'mean_absolute_error': 4.5642696607606785}
51,{'mean_absolute_error': 2.9890193537598613},{'mean_absolute_error': 2.893982761089},{'mean_absolute_error': 2.354979945137158},{'mean_absolute_error': 2.2093385831431163},{'mean_absolute_error': 2.557733950104403},{'mean_absolute_error': 4.740621877465665}
52,{'mean_absolute_error': 3.006128616207808},{'mean_absolute_error': 2.924089489122833},{'mean_absolute_error': 3.056451355847254},{'mean_absolute_error': 3.134976941437568},{'mean_absolute_error': 2.335913277628629},{'mean_absolute_error': 4.531390644506522}
53,{'mean_absolute_error': 3.0082841633879993},{'mean_absolute_error': 2.9042297656302},{'mean_absolute_error': 3.000817539157534},{'mean_absolute_error': 3.090124861503104},{'mean_absolute_error': 3.7542359989382565},{'mean_absolute_error': 5.7689977259933265}
54,{'mean_absolute_error': 2.771703055494683},{'mean_absolute_error': 2.7033181858360247},{'mean_absolute_error': 2.5284850201144904},{'mean_absolute_error': 2.558654890115968},{'mean_absolute_error': 4.0744389319141},{'mean_absolute_error': 6.043996131914111}
55,{'mean_absolute_error': 2.9042018937196135},{'mean_absolute_error': 2.8332880906976605},{'mean_absolute_error': 2.454643037698602},{'mean_absolute_error': 2.4433337659203183},{'mean_absolute_error': 2.6055586747758253},{'mean_absolute_error': 4.788709877246935}
56,{'mean_absolute_error': 3.6874014597931275},{'mean_absolute_error': 3.55102100616428},{'mean_absolute_error': 3.0698867024296033},{'mean_absolute_error': 3.1777210607746413},{'mean_absolute_error': 2.3733955856676308},{'mean_absolute_error': 4.56792650327435}
57,{'mean_absolute_error': 3.0585153495877715},{'mean_absolute_error': 2.8685020081121655},{'mean_absolute_error': 3.069840213060826},{'mean_absolute_error': 3.1900305615970344},{'mean_absolute_error': 2.2510223294007954},{'mean_absolute_error': 4.44839701640587}
58,{'mean_absolute_error': 2.679876526280721},{'mean_absolute_error': 2.7130698517182124},{'mean_absolute_error': 2.843664836783806},{'mean_absolute_error': 2.9732556930871152},{'mean_absolute_error': 2.150852896068434},{'mean_absolute_error': 4.33793869790906}
59,{'mean_absolute_error': 2.6717201294960247},{'mean_absolute_error': 2.7096274594026757},{'mean_absolute_error': 2.5407263980097214},{'mean_absolute_error': 2.620815093882074},{'mean_absolute_error': 2.119804681602832},{'mean_absolute_error': 4.3002402117451135}
60,{'mean_absolute_error': 3.6771704905334333},{'mean_absolute_error': 3.6049191137559164},{'mean_absolute_error': 3.138017720761736},{'mean_absolute_error': 3.327917356285495},{'mean_absolute_error': 2.0653268343778914},{'mean_absolute_error': 4.051932284567133}
61,{'mean_absolute_error': 3.4025928520223463},{'mean_absolute_error': 3.2584204115429585},{'mean_absolute_error': 2.926527759424643},{'mean_absolute_error': 3.157136483451718},{'mean_absolute_error': 2.0347978741350623},{'mean_absolute_error': 4.19343325520468}
62,{'mean_absolute_error': 3.0657559281982856},{'mean_absolute_error': 2.9118972939558394},{'mean_absolute_error': 2.9831918803056374},{'mean_absolute_error': 3.233567648737994},{'mean_absolute_error': 2.233245130085279},{'mean_absolute_error': 4.436685877805645}
63,{'mean_absolute_error': 3.0758796766126313},{'mean_absolute_error': 3.028896314816383},{'mean_absolute_error': 2.7688885870923796},{'mean_absolute_error': 2.6262112814797156},{'mean_absolute_error': 3.0269552560853037},{'mean_absolute_error': 5.196537597293389}
