,train_scores_1,valid_scores_1,train_scores_2,valid_scores_2,train_scores_3,valid_scores_3
66,{'mean_absolute_error': 3.3415377461671927},{'mean_absolute_error': 4.58865228778258},{'mean_absolute_error': 2.2723820950817184},{'mean_absolute_error': 3.475463551430912},{'mean_absolute_error': 3.1439890869705858},{'mean_absolute_error': 4.258707651197145}
67,{'mean_absolute_error': 2.785004903849258},{'mean_absolute_error': 4.034637067443265},{'mean_absolute_error': 2.2769640077632074},{'mean_absolute_error': 3.4199602213421225},{'mean_absolute_error': 3.719219875019224},{'mean_absolute_error': 4.823631815590373}
68,{'mean_absolute_error': 2.565369668928268},{'mean_absolute_error': 3.6095203489886636},{'mean_absolute_error': 2.2638552533050698},{'mean_absolute_error': 3.4902495294791307},{'mean_absolute_error': 2.5332724321573643},{'mean_absolute_error': 3.5672615075748553}
69,{'mean_absolute_error': 2.5093593401514767},{'mean_absolute_error': 3.6325465791937974},{'mean_absolute_error': 2.3565663543343995},{'mean_absolute_error': 3.6073327029416165},{'mean_absolute_error': 2.5412231791487883},{'mean_absolute_error': 3.6274135049494953}
70,{'mean_absolute_error': 2.669973437868646},{'mean_absolute_error': 3.9159242242125716},{'mean_absolute_error': 2.3598172057554283},{'mean_absolute_error': 3.619069671277363},{'mean_absolute_error': 3.7610253209182143},{'mean_absolute_error': 4.898254043792849}
71,{'mean_absolute_error': 3.802961719063859},{'mean_absolute_error': 5.064114869674816},{'mean_absolute_error': 2.2391147882031377},{'mean_absolute_error': 3.457383420356051},{'mean_absolute_error': 4.804490021461075},{'mean_absolute_error': 5.834805622374793}
72,{'mean_absolute_error': 2.7831343699239177},{'mean_absolute_error': 4.027632489703319},{'mean_absolute_error': 2.229028117520935},{'mean_absolute_error': 3.4494393696264036},{'mean_absolute_error': 3.7730765676917133},{'mean_absolute_error': 4.884292880322777}
73,{'mean_absolute_error': 2.8432174356341045},{'mean_absolute_error': 4.096479933743242},{'mean_absolute_error': 2.2821722119592436},{'mean_absolute_error': 3.508595668929873},{'mean_absolute_error': 2.5948708622842087},{'mean_absolute_error': 3.774676625301247}
74,{'mean_absolute_error': 2.3219362530234133},{'mean_absolute_error': 3.510044470395761},{'mean_absolute_error': 2.403905761366155},{'mean_absolute_error': 3.6603855518068973},{'mean_absolute_error': 3.3401878681140227},{'mean_absolute_error': 4.513529665793246}
75,{'mean_absolute_error': 2.7075963434422623},{'mean_absolute_error': 3.981072671410664},{'mean_absolute_error': 3.2234827470288665},{'mean_absolute_error': 4.436041833225247},{'mean_absolute_error': 3.548980811399356},{'mean_absolute_error': 4.681205239949665}
76,{'mean_absolute_error': 2.378359619387983},{'mean_absolute_error': 3.55993503564643},{'mean_absolute_error': 3.8837364347357175},{'mean_absolute_error': 5.054937001610212},{'mean_absolute_error': 2.604970883887211},{'mean_absolute_error': 3.7871101195949537}
77,{'mean_absolute_error': 3.089076416102912},{'mean_absolute_error': 4.391944778022762},{'mean_absolute_error': 3.918432612499607},{'mean_absolute_error': 5.034292387527586},{'mean_absolute_error': 3.206030741788601},{'mean_absolute_error': 4.407757919730799}
78,{'mean_absolute_error': 4.302054336457607},{'mean_absolute_error': 5.6770914471878715},{'mean_absolute_error': 4.2809389007114715},{'mean_absolute_error': 5.354103479336463},{'mean_absolute_error': 2.6378799064766953},{'mean_absolute_error': 3.8938580851087328}
79,{'mean_absolute_error': 2.5418784604493254},{'mean_absolute_error': 3.8936660440883815},{'mean_absolute_error': 3.3048677504893345},{'mean_absolute_error': 4.424874900636586},{'mean_absolute_error': 2.2493174571435395},{'mean_absolute_error': 3.4901380033255776}
80,{'mean_absolute_error': 2.5814422104412036},{'mean_absolute_error': 3.929520291195942},{'mean_absolute_error': 3.119307045079154},{'mean_absolute_error': 4.316904929301705},{'mean_absolute_error': 3.772778478335275},{'mean_absolute_error': 5.009848798349374}
81,{'mean_absolute_error': 2.74120644445743},{'mean_absolute_error': 4.0969450636857205},{'mean_absolute_error': 3.496906408075243},{'mean_absolute_error': 4.72590004936458},{'mean_absolute_error': 2.2266488994712916},{'mean_absolute_error': 3.5190656000733616}
82,{'mean_absolute_error': 3.3985527649561105},{'mean_absolute_error': 4.786646792498342},{'mean_absolute_error': 2.67684603451808},{'mean_absolute_error': 3.909690160647607},{'mean_absolute_error': 2.3703729919117724},{'mean_absolute_error': 3.73659259164228}
83,{'mean_absolute_error': 2.5434000333113125},{'mean_absolute_error': 3.9275650628221332},{'mean_absolute_error': 3.7125453798765995},{'mean_absolute_error': 4.93549659764013},{'mean_absolute_error': 2.1557017183593414},{'mean_absolute_error': 3.465022573746533}
84,{'mean_absolute_error': 2.3768647245527617},{'mean_absolute_error': 3.5169523484252374},{'mean_absolute_error': 2.4924902134222817},{'mean_absolute_error': 3.7230061855337424},{'mean_absolute_error': 2.302300748524915},{'mean_absolute_error': 3.7199343998358523}
