,train_scores_500,valid_scores_500,train_scores_1000,valid_scores_1000,train_scores_5000,valid_scores_5000,train_scores_7000,valid_scores_7000,train_scores_10000,valid_scores_10000,train_scores_15000,valid_scores_15000
33,{'mean_absolute_error': 1.193138297371679},{'mean_absolute_error': 1.16333067606324},{'mean_absolute_error': 1.0760836028537635},{'mean_absolute_error': 1.119198790527127},{'mean_absolute_error': 1.0651476374776303},{'mean_absolute_error': 1.109234335480088},{'mean_absolute_error': 0.982105522344106},{'mean_absolute_error': 1.1089794304453513},{'mean_absolute_error': 0.9816810256897774},{'mean_absolute_error': 1.0091299577663093},{'mean_absolute_error': 1.056053595843713},{'mean_absolute_error': 1.086400460112491}
34,{'mean_absolute_error': 1.282038230044316},{'mean_absolute_error': 1.3256307362530035},{'mean_absolute_error': 1.0648071705547104},{'mean_absolute_error': 1.1159969204678342},{'mean_absolute_error': 1.0008654646854491},{'mean_absolute_error': 1.0272239898484135},{'mean_absolute_error': 0.9708519801129235},{'mean_absolute_error': 1.0960387577649908},{'mean_absolute_error': 0.9864702068557133},{'mean_absolute_error': 1.0162561615034205},{'mean_absolute_error': 1.0050190991802506},{'mean_absolute_error': 1.0333074261469257}
35,{'mean_absolute_error': 1.1918865354965125},{'mean_absolute_error': 1.1663674646952422},{'mean_absolute_error': 1.1621598951770207},{'mean_absolute_error': 1.271030429400128},{'mean_absolute_error': 1.0017394274286189},{'mean_absolute_error': 1.0360852660298883},{'mean_absolute_error': 0.9771580978580358},{'mean_absolute_error': 1.0932997783524834},{'mean_absolute_error': 1.0279698350480022},{'mean_absolute_error': 1.0620529294054146},{'mean_absolute_error': 0.9987408468199599},{'mean_absolute_error': 1.028458642249726}
36,{'mean_absolute_error': 1.1864978317650368},{'mean_absolute_error': 1.2429255197998506},{'mean_absolute_error': 1.1126713284486678},{'mean_absolute_error': 1.2218154047006125},{'mean_absolute_error': 0.9980785000851482},{'mean_absolute_error': 1.0212446312108923},{'mean_absolute_error': 1.041065078359138},{'mean_absolute_error': 1.1767557400929678},{'mean_absolute_error': 0.9848280499313131},{'mean_absolute_error': 1.017761110568891},{'mean_absolute_error': 1.048356180066671},{'mean_absolute_error': 1.0710393412337003}
37,{'mean_absolute_error': 1.1469710169286678},{'mean_absolute_error': 1.1647832288206286},{'mean_absolute_error': 1.0330736815266506},{'mean_absolute_error': 1.1257506713671028},{'mean_absolute_error': 1.013260302972886},{'mean_absolute_error': 1.0545269271707596},{'mean_absolute_error': 1.0295805547362187},{'mean_absolute_error': 1.1246755723564994},{'mean_absolute_error': 0.9831283660539301},{'mean_absolute_error': 1.0163797590317933},{'mean_absolute_error': 1.0024708317905597},{'mean_absolute_error': 1.0328195283443617}
38,{'mean_absolute_error': 1.327075203771961},{'mean_absolute_error': 1.3981646701014727},{'mean_absolute_error': 1.0286450149678636},{'mean_absolute_error': 1.1251134923952868},{'mean_absolute_error': 1.012015269103035},{'mean_absolute_error': 1.055109212268152},{'mean_absolute_error': 0.9723214962318788},{'mean_absolute_error': 1.1021584720368818},{'mean_absolute_error': 1.106159869983768},{'mean_absolute_error': 1.1358382577023418},{'mean_absolute_error': 0.9944638468866229},{'mean_absolute_error': 1.0247455794678368}
39,{'mean_absolute_error': 1.2887822600973207},{'mean_absolute_error': 1.2464297778750582},{'mean_absolute_error': 1.0756118884427917},{'mean_absolute_error': 1.135266668242441},{'mean_absolute_error': 0.9928632717857772},{'mean_absolute_error': 1.0189641316372373},{'mean_absolute_error': 0.9661102311981614},{'mean_absolute_error': 1.0962635335114161},{'mean_absolute_error': 1.000577348128193},{'mean_absolute_error': 1.0371564401104443},{'mean_absolute_error': 0.9939651074052603},{'mean_absolute_error': 1.026419280174089}
40,{'mean_absolute_error': 1.4053304659633472},{'mean_absolute_error': 1.4908015049109933},{'mean_absolute_error': 1.022469057282691},{'mean_absolute_error': 1.1219589535333667},{'mean_absolute_error': 0.9962373886622333},{'mean_absolute_error': 1.0287092345292348},{'mean_absolute_error': 0.998928930957332},{'mean_absolute_error': 1.1410365927295432},{'mean_absolute_error': 1.0858482042319688},{'mean_absolute_error': 1.1195667355790344},{'mean_absolute_error': 1.0009017224395795},{'mean_absolute_error': 1.0335286120343865}
41,{'mean_absolute_error': 1.273800105056581},{'mean_absolute_error': 1.243985643523368},{'mean_absolute_error': 1.019287556234664},{'mean_absolute_error': 1.1246740382173837},{'mean_absolute_error': 1.131706006948494},{'mean_absolute_error': 1.1058594724740043},{'mean_absolute_error': 0.9758666708478672},{'mean_absolute_error': 1.1133188709149697},{'mean_absolute_error': 0.9889483007182032},{'mean_absolute_error': 1.0333896245080563},{'mean_absolute_error': 1.0447752241083705},{'mean_absolute_error': 1.0814979889872804}
42,{'mean_absolute_error': 1.4469162958854855},{'mean_absolute_error': 1.547844465970646},{'mean_absolute_error': 1.0164820069731664},{'mean_absolute_error': 1.1277399337388718},{'mean_absolute_error': 1.0074279230363496},{'mean_absolute_error': 1.0257036794873695},{'mean_absolute_error': 0.9619024993876268},{'mean_absolute_error': 1.0893746702066913},{'mean_absolute_error': 1.049611307503169},{'mean_absolute_error': 1.091168184220216},{'mean_absolute_error': 1.0251788947250666},{'mean_absolute_error': 1.0610012409713034}
43,{'mean_absolute_error': 1.3336166508944236},{'mean_absolute_error': 1.2819997524608642},{'mean_absolute_error': 1.0135155869262946},{'mean_absolute_error': 1.1289605504067295},{'mean_absolute_error': 0.9913748738001339},{'mean_absolute_error': 1.024294263325808},{'mean_absolute_error': 1.0065933388095667},{'mean_absolute_error': 1.1323157066018423},{'mean_absolute_error': 0.985092040033815},{'mean_absolute_error': 1.0273869555055801},{'mean_absolute_error': 0.9868452337833714},{'mean_absolute_error': 1.0161699846506085}
