,train_losses,valid_losses
202,{'mean_absolute_error': 0.594146918324566},{'mean_absolute_error': 1.4813553017475574}
203,{'mean_absolute_error': 0.539921843142556},{'mean_absolute_error': 1.4403835179583524}
204,{'mean_absolute_error': 0.5395214453718562},{'mean_absolute_error': 1.419398032317975}
205,{'mean_absolute_error': 0.532708739182988},{'mean_absolute_error': 1.4258353948925282}
206,{'mean_absolute_error': 0.5817322849438736},{'mean_absolute_error': 1.41589935581457}
207,{'mean_absolute_error': 0.5191266954272852},{'mean_absolute_error': 1.4030229152847051}
208,{'mean_absolute_error': 0.5229989672576457},{'mean_absolute_error': 1.3877548259319965}
209,{'mean_absolute_error': 0.5119818917516405},{'mean_absolute_error': 1.3747266850041666}
210,{'mean_absolute_error': 0.5199292882091503},{'mean_absolute_error': 1.4068915144234344}
211,{'mean_absolute_error': 0.5304828747671897},{'mean_absolute_error': 1.4316149357606063}
212,{'mean_absolute_error': 0.5296144873216965},{'mean_absolute_error': 1.4336277854599462}
213,{'mean_absolute_error': 0.5276011297770422},{'mean_absolute_error': 1.4398439355927815}
214,{'mean_absolute_error': 0.5289765230117556},{'mean_absolute_error': 1.4480756000538322}
215,{'mean_absolute_error': 0.5273364378065897},{'mean_absolute_error': 1.460113221366037}
216,{'mean_absolute_error': 0.5191160944897832},{'mean_absolute_error': 1.4271739089482713}
217,{'mean_absolute_error': 0.5226783110060651},{'mean_absolute_error': 1.39347876184936}
218,{'mean_absolute_error': 0.5158038214581041},{'mean_absolute_error': 1.3821726495996172}
219,{'mean_absolute_error': 0.5055187115124243},{'mean_absolute_error': 1.4135267001471896}
220,{'mean_absolute_error': 0.521052997802339},{'mean_absolute_error': 1.4324010735628394}
221,{'mean_absolute_error': 0.5074104791597897},{'mean_absolute_error': 1.3775614612264095}
222,{'mean_absolute_error': 0.5272583921005252},{'mean_absolute_error': 1.3890507923267925}
223,{'mean_absolute_error': 0.5248287838180263},{'mean_absolute_error': 1.4331417233211863}
224,{'mean_absolute_error': 0.5188030844297331},{'mean_absolute_error': 1.4317692600593255}
225,{'mean_absolute_error': 0.516051109333095},{'mean_absolute_error': 1.4363038135989654}
226,{'mean_absolute_error': 0.5048858243171496},{'mean_absolute_error': 1.4474974059773331}
227,{'mean_absolute_error': 0.5204816306341854},{'mean_absolute_error': 1.451281323843703}
228,{'mean_absolute_error': 0.5377408931431504},{'mean_absolute_error': 1.4613696899168271}
229,{'mean_absolute_error': 0.49009401001443104},{'mean_absolute_error': 1.4294736245394701}
230,{'mean_absolute_error': 0.4891205637871131},{'mean_absolute_error': 1.3848243494443855}
231,{'mean_absolute_error': 0.4766848504514922},{'mean_absolute_error': 1.3890445022216478}
232,{'mean_absolute_error': 0.49133417181973416},{'mean_absolute_error': 1.4140520997073802}
233,{'mean_absolute_error': 0.540028668204621},{'mean_absolute_error': 1.410084462402737}
234,{'mean_absolute_error': 0.5944421148988924},{'mean_absolute_error': 1.4482141917251115}
235,{'mean_absolute_error': 0.61520399649086},{'mean_absolute_error': 1.4694674891535187}
236,{'mean_absolute_error': 0.6195399458903078},{'mean_absolute_error': 1.4820018731545141}
