id, FailedMolecules, FailedReason, smiles, eiso
136, 1175680, Negativeisomerization, COc1ccc(F)c(\N=N/c2cccc(C(=O)O)c2-c2ccccc2)c1C(=O)O, -3.284352453
137, 423231, Negativeisomerization, COc1cc(\N=N/c2ccc(C#N)c(OC)c2C)ccc1C#N, -0.66395632
138, 294634, Negativeisomerization, COc1ccc(\N=N/c2c(-c3ccccc3)ccc(F)c2C(=O)O)c(C(=O)O)c1, -0.209935369
139, 823701, Negativeisomerization, COc1c(C#N)ccc(\N=N/c2cccc(-c3ccccc3)c2C(=O)O)c1C, -1.610257343
140, 871645, Negativeisomerization, N#Cc1cc(\N=N/c2c(F)ccc(C#N)c2C(=O)O)ccc1C(=O)O, -1.846723753
141, 772341, Negativeisomerization, N#Cc1cc(C(=O)O)c(\N=N/c2c(C(=O)O)cccc2-c2ccccc2)cc1-c1ccccc1, -1.889581589
142, 138029, Negativeisomerization, COc1ccc(C(=O)O)c(\N=N/c2ccccc2C)c1C(=O)O, -1.203611308
143, 490288, Negativeisomerization, COc1cccc(\N=N/c2c(OC)cc(-c3ccccc3)cc2C(=O)O)c1C, -1.541848073
144, 896357, Negativeisomerization, N#Cc1cccc(\N=N/c2ccc(C#N)c(-c3ccccc3)c2C(=O)O)c1C(=O)O, -1.89494222
145, 969688, Negativeisomerization, COc1c(\N=N/c2cccc(F)c2C(=O)O)ccc(C#N)c1C#N, -0.673398649
146, 9225, Negativeisomerization, COc1cccc(\N=N/c2cc(C(=O)O)c(F)cc2C(=O)O)c1, -1.782940408
147, 972271, Negativeisomerization, COc1c(\N=N/c2cccc(F)c2C(=O)O)ccc(C(=O)O)c1C, -0.974900125
148, 984124, Negativeisomerization, COc1c(C(=O)O)ccc(-c2ccccc2)c1\N=N/c1c(F)cccc1C(=O)O, -0.301501476
149, 958425, Negativeisomerization, COc1cc(C#N)cc(C)c1\N=N/c1cccc(C(=O)O)c1C, -1.196890111
150, 773310, Negativeisomerization, O=C(O)c1cccc(-c2ccccc2)c1\N=N/c1cc(-c2ccccc2)cc(F)c1-c1ccccc1, -1.995977869
151, 1114939, Negativeisomerization, COc1c(F)ccc(C(=O)O)c1\N=N/c1ccc(C(=O)O)cc1-c1ccccc1, -1.706041205
152, 918969, Negativeisomerization, Cc1cc(F)c(C(=O)O)c(\N=N/c2cccc(C(=O)O)c2C)c1, -0.375271377
153, 696187, Negativeisomerization, O=C(O)c1ccc(C(=O)O)c(\N=N/c2c(-c3ccccc3)ccc(C(=O)O)c2C(=O)O)c1, -0.800666014
154, failed.txt, Negativeisomerization, O=C(O)c1ccc(F)c(\N=N/c2cc(C(=O)O)c(C(=O)O)cc2-c2ccccc2)c1, -1.603155187
155, 1002996, Negativeisomerization, COc1cc(C(=O)O)c(\N=N/c2c(F)cccc2C(=O)O)cc1C(=O)O, -1.18823691
156, 1030956, Negativeisomerization, COc1cc(\N=N/c2ccccc2F)c(C(=O)O)c(OC)c1, -0.35333905
157, 147055, Negativeisomerization, COc1c(\N=N/c2c(F)ccc(-c3ccccc3)c2C(=O)O)cccc1-c1ccccc1, -4.387526762
158, 397691, Negativeisomerization, COc1cc(\N=N/c2ccc(F)c(C(=O)O)c2OC)ccc1C(=O)O, -2.781868133
159, 660989, Negativeisomerization, COc1c(-c2ccccc2)ccc(C#N)c1\N=N/c1ccc(C)c(C(=O)O)c1, -0.015292764
160, 924491, Negativeisomerization, O=C(O)c1cccc(C(=O)O)c1\N=N/c1c(C(=O)O)cc(-c2ccccc2)cc1-c1ccccc1, -1.749851438
161, 701762, Negativeisomerization, Cc1cccc(\N=N/c2ccc(C(=O)O)c(C(=O)O)c2C)c1C(=O)O, -0.185907769
162, 899661, Negativeisomerization, Cc1c(C#N)ccc(\N=N/c2ccccc2-c2ccccc2)c1-c1ccccc1, -0.576172586
163, 81489, Negativeisomerization, COc1cc(C)c(\N=N/c2cc(C(=O)O)ccc2C)c(C(=O)O)c1, -24.15032267
164, 932194, Negativeisomerization, Cc1c(C(=O)O)ccc(\N=N/c2ccccc2-c2ccccc2)c1C#N, -1.293599159
165, 61923, Negativeisomerization, COc1cccc(\N=N/c2cc(C)c(-c3ccccc3)cc2C)c1C(=O)O, -0.23358201
166, 616380, Negativeisomerization, O=C(O)c1cc(C(=O)O)c(-c2ccccc2)cc1\N=N/c1c(C(=O)O)cccc1-c1ccccc1, -2.066509622
167, 819524, Negativeisomerization, Cc1cc(\N=N/c2cc(C(=O)O)ccc2-c2ccccc2)ccc1F, -0.042830625
168, 808977, Negativeisomerization, Cc1cc(F)c(\N=N/c2cccc(-c3ccccc3)c2C(=O)O)c(-c2ccccc2)c1, -22.02590735
169, 761128, Negativeisomerization, N#Cc1cc(-c2ccccc2)cc(\N=N/c2ccc(C(=O)O)cc2-c2ccccc2)c1C(=O)O, -1.12701143
170, 806774, Negativeisomerization, COc1ccc(C)c(\N=N/c2c(-c3ccccc3)ccc(-c3ccccc3)c2C(=O)O)c1, -0.038640081
171, 525274, Negativeisomerization, Cc1ccc(\N=N/c2cccc(C(=O)O)c2C)c(C#N)c1C#N, -0.069606568
172, 920877, Negativeisomerization, COc1c(C#N)ccc(C#N)c1\N=N/c1cccc(C(=O)O)c1, -1.256727814
173, 46842, Negativeisomerization, COc1ccc(-c2ccccc2)cc1\N=N/c1cc(-c2ccccc2)cc(C#N)c1C(=O)O, -0.544770718
174, 337888, Negativeisomerization, COc1cc(-c2ccccc2)cc(C(=O)O)c1\N=N/c1cccc(C(=O)O)c1OC, -1.376076684
175, 672495, Negativeisomerization, COc1cc(C(=O)O)cc(\N=N/c2c(C(=O)O)cccc2-c2ccccc2)c1OC, -0.067919466
176, 771952, Negativeisomerization, COc1ccc(\N=N/c2cc(-c3ccccc3)cc(-c3ccccc3)c2C(=O)O)cc1C(=O)O, -0.120546168
177, 299018, Negativeisomerization, COc1ccc(C#N)c(C(=O)O)c1\N=N/c1cccc(OC)c1-c1ccccc1, -1.682149662
178, 1107176, Negativeisomerization, COc1c(\N=N/c2c(F)cccc2-c2ccccc2)cccc1C(=O)O, -0.00370074
179, 671483, Negativeisomerization, COc1cc(C)cc(\N=N/c2ccccc2-c2ccccc2)c1C#N, -1.10276614
180, 79339, Negativeisomerization, N#Cc1cc(C#N)c(C(=O)O)c(\N=N/c2cc(C(=O)O)ccc2C(=O)O)c1, -3.123751215
181, 721608, Negativeisomerization, COc1cccc(\N=N/c2c(C(=O)O)ccc(F)c2C(=O)O)c1-c1ccccc1, -3.475920178
182, 1108736, Negativeisomerization, Cc1ccc(\N=N/c2c(F)ccc(F)c2C(=O)O)cc1C(=O)O, -1.577413274
183, 926111, Negativeisomerization, COc1cccc(-c2ccccc2)c1\N=N/c1cccc(OC)c1C(=O)O, -0.691875139
184, 388647, Negativeisomerization, COc1cccc(\N=N/c2c(C(=O)O)ccc(C#N)c2C#N)c1-c1ccccc1, -4.821873925
185, 386628, Negativeisomerization, Cc1cccc(\N=N/c2cc(F)cc(C)c2C(=O)O)c1C(=O)O, -0.0127349
186, 902553, Negativeisomerization, COc1c(C(=O)O)ccc(\N=N/c2c(C#N)cccc2C(=O)O)c1-c1ccccc1, -0.143866273
187, 889480, Negativeisomerization, COc1ccc(\N=N/c2ccc(C)c(OC)c2OC)c(C(=O)O)c1, -1.107256008
188, 619217, Negativeisomerization, COc1ccc(\N=N/c2cc(C(=O)O)cc(-c3ccccc3)c2)c(C(=O)O)c1OC, -0.049497399
189, 785551, Negativeisomerization, COc1ccc(C(=O)O)c(\N=N/c2cc(-c3ccccc3)cc(-c3ccccc3)c2C(=O)O)c1, -0.748828441
190, 625520, Nonebdir, /cluster/research-groups/kowalczyk/stf_screen_cluster/Azo_Data_1/Azo_Batch_5/996155/neb/neb_out, 
191, 996155, Negativeisomerization, COc1cc(\N=N/c2ccc(-c3ccccc3)c(OC)c2C(=O)O)ccc1-c1ccccc1, -2.570381719
192, 350796, Negativeisomerization, COc1cccc(\N=N/c2ccc(C#N)c(F)c2C(=O)O)c1C(=O)O, -0.695330977
193, 615748, Negativeisomerization, COc1cccc(\N=N/c2ccc(C)c(C#N)c2C(=O)O)c1F, -0.790271288
194, 565119, Negativeisomerization, Cc1cc(F)c(C(=O)O)c(\N=N/c2ccc(C(=O)O)cc2-c2ccccc2)c1, -4.997659082
195, 796288, Negativeisomerization, COc1c(\N=N/c2c(C(=O)O)ccc(C(=O)O)c2F)cccc1C(=O)O, -0.802135426
196, 255200, Negativeisomerization, Cc1c(F)ccc(-c2ccccc2)c1\N=N/c1cccc(C#N)c1, -0.247024404
