,train_losses,valid_losses
127,{'mean_absolute_error': 1.209567525876208},{'mean_absolute_error': 1.1375535026164236}
128,{'mean_absolute_error': 1.1794854485434165},{'mean_absolute_error': 1.1978315539307838}
129,{'mean_absolute_error': 1.2043222537711389},{'mean_absolute_error': 1.1430519189612247}
130,{'mean_absolute_error': 1.1786884649304403},{'mean_absolute_error': 1.1765904716839637}
131,{'mean_absolute_error': 1.2118465053910277},{'mean_absolute_error': 1.1039188651217744}
132,{'mean_absolute_error': 1.1753001141716775},{'mean_absolute_error': 1.1508584821414884}
133,{'mean_absolute_error': 1.1823391164783474},{'mean_absolute_error': 1.165082986569844}
134,{'mean_absolute_error': 1.1722363679457792},{'mean_absolute_error': 1.170290060192925}
135,{'mean_absolute_error': 1.1800326209097043},{'mean_absolute_error': 1.1368397056160102}
136,{'mean_absolute_error': 1.165179431672908},{'mean_absolute_error': 1.1685020989614887}
137,{'mean_absolute_error': 1.2565018576629456},{'mean_absolute_error': 1.1392589000311115}
138,{'mean_absolute_error': 1.1798747292559049},{'mean_absolute_error': 1.1932050978267568}
139,{'mean_absolute_error': 1.1740167075081325},{'mean_absolute_error': 1.1558625719268916}
140,{'mean_absolute_error': 1.1985703934994378},{'mean_absolute_error': 1.1400192666674742}
141,{'mean_absolute_error': 1.1775198067502355},{'mean_absolute_error': 1.2378027097177764}
142,{'mean_absolute_error': 1.1656607303357411},{'mean_absolute_error': 1.1730046081849153}
143,{'mean_absolute_error': 1.1906786585295115},{'mean_absolute_error': 1.1386330113465215}
144,{'mean_absolute_error': 1.1649750887976518},{'mean_absolute_error': 1.1797758313107243}
145,{'mean_absolute_error': 1.2047231127073814},{'mean_absolute_error': 1.125986993397998}
146,{'mean_absolute_error': 1.161381972784922},{'mean_absolute_error': 1.1617815914066711}
147,{'mean_absolute_error': 1.1806627161106642},{'mean_absolute_error': 1.1231981282354795}
148,{'mean_absolute_error': 1.167002854376643},{'mean_absolute_error': 1.1484384518513424}
149,{'mean_absolute_error': 1.1555295114270192},{'mean_absolute_error': 1.1726163055093206}
150,{'mean_absolute_error': 1.1782271176146866},{'mean_absolute_error': 1.1131511300418262}
151,{'mean_absolute_error': 1.147735883035566},{'mean_absolute_error': 1.1043052084043552}
152,{'mean_absolute_error': 1.1400232125187508},{'mean_absolute_error': 1.1533804717558063}
153,{'mean_absolute_error': 1.166742206709242},{'mean_absolute_error': 1.1553227407092796}
154,{'mean_absolute_error': 1.1608268155209696},{'mean_absolute_error': 1.2318675353552855}
155,{'mean_absolute_error': 1.1705751373045532},{'mean_absolute_error': 1.1086087668846707}
156,{'mean_absolute_error': 1.142568664371192},{'mean_absolute_error': 1.1200330332893764}
157,{'mean_absolute_error': 1.1496448416151528},{'mean_absolute_error': 1.1131801939058499}
158,{'mean_absolute_error': 1.1365550607121149},{'mean_absolute_error': 1.1478675613055782}
159,{'mean_absolute_error': 1.1477845885069273},{'mean_absolute_error': 1.1307913792989683}
160,{'mean_absolute_error': 1.13436429265666},{'mean_absolute_error': 1.138544661594704}
