,train_mean,train_riso,train_eiso,train_vert,valid_mean,valid_riso,valid_eiso,valid_vert,,,(3,2048, [256,512, 1024],0.6, 1e-05)
151,2.838510601,7.33947841,1.079193202,0.09686019,3.050994072,7.970848839,1.087719365,0.094414012,,,,,,,,,
152,2.838267758,7.338881439,1.079095446,0.096826388,3.050726,7.970305482,1.08747975,0.094392768,,,,,,,,,
153,2.838689126,7.34042295,1.07882248,0.096821948,3.050777988,7.970636508,1.087317704,0.094379752,,,,,,,,,
154,2.83793702,7.338082738,1.078937614,0.096790709,3.05014364,7.968999878,1.087071905,0.094359137,,,,,,,,,
155,2.837239586,7.335513414,1.079403077,0.096802268,3.049810733,7.967138137,1.087937117,0.094356945,,,,,,,,,
156,2.837230343,7.335786153,1.079095138,0.096809739,3.049607998,7.967221914,1.087246191,0.09435589,,,,,,,,,
157,2.837669134,7.337483233,1.078777882,0.096746288,3.049808839,7.967554743,1.087550866,0.094320909,,,,,,,,,
158,2.836684181,7.335078404,1.078293227,0.096680914,3.049077689,7.965925482,1.087009516,0.094298069,,,,,,,,,
159,2.835736855,7.332601021,1.077935421,0.096674122,3.048499013,7.964156648,1.087058962,0.094281429,,,,,,,,,
160,2.837085417,7.336204947,1.07837972,0.096671586,3.049338249,7.966389022,1.087360847,0.094264879,,,,,,,,,
161,2.835140296,7.331122375,1.077674712,0.096623802,3.047908962,7.963246068,1.086238141,0.094242678,,,,,,,,,
162,2.836537054,7.334573674,1.078414911,0.096622577,3.048596146,7.964916679,1.08664525,0.09422651,,,,,,,,,
163,2.834697707,7.33040581,1.077075173,0.096612137,3.047584005,7.962060825,1.086470303,0.094220886,,,,,,,,,
164,2.835614899,7.332357606,1.077902728,0.096584362,3.048390061,7.963293645,1.087665045,0.094211492,,,,,,,,,
165,2.834072965,7.329017663,1.076661484,0.096539749,3.047007671,7.961143094,1.085698068,0.09418185,,,,,,,,,
166,2.834046961,7.328839003,1.076753173,0.096548706,3.046819323,7.96072115,1.085573743,0.094163075,,,,,,,,,
167,2.835295423,7.332845951,1.076509572,0.096530746,3.047741033,7.962690882,1.086381234,0.094150983,,,,,,,,,
168,2.833174032,7.327122209,1.075910655,0.096489232,3.046314777,7.958829406,1.085977766,0.094137159,,,,,,,,,
169,2.834451426,7.329707305,1.077127296,0.096519677,3.047310081,7.960138978,1.087654855,0.09413641,,,,,,,,,
170,2.833052357,7.326913637,1.07576439,0.096479044,3.045964101,7.958204874,1.085577326,0.094110102,,,,,,,,,
171,2.833017975,7.327028171,1.075549368,0.096476385,3.045659325,7.957864406,1.085011966,0.094101603,,,,,,,,,
172,2.832565104,7.32597748,1.075264244,0.096453588,3.045470447,7.957224761,1.085105854,0.094080726,,,,,,,,,
173,2.831336224,7.323128579,1.074479738,0.096400354,3.044424855,7.95504644,1.084170817,0.094057308,,,,,,,,,
174,2.831515874,7.32337214,1.074794713,0.096380768,3.044684126,7.95498677,1.08501562,0.094049986,,,,,,,,,
175,2.831316277,7.323136104,1.074428805,0.096383923,3.044341674,7.954703651,1.0842884,0.09403297,,,,,,,,,
176,2.830069073,7.319617207,1.074257533,0.096332478,3.043668413,7.953129403,1.083864143,0.094011694,,,,,,,,,
177,2.829966945,7.320038232,1.073554019,0.096308584,3.043534416,7.952585718,1.084017108,0.094000421,,,,,,,,,
178,2.830620382,7.321786196,1.073727939,0.096347011,3.043659316,7.952976719,1.083998332,0.094002897,,,,,,,,,
179,2.830142222,7.320033974,1.074101254,0.096291437,3.04357249,7.951971485,1.0847693,0.093976684,,,,,,,,,
180,2.829774942,7.319788744,1.073179146,0.096356934,3.042971229,7.951409535,1.083507299,0.093996853,,,,,,,,,
181,2.829533418,7.318844979,1.073370626,0.096384648,3.042592386,7.950311134,1.083453537,0.094012488,,,,,,,,,
182,2.828343681,7.316389169,1.072452623,0.096189252,3.041866897,7.948445865,1.083216413,0.093938415,,,,,,,,,
183,2.828999033,7.318201208,1.072596624,0.096199266,3.042211816,7.949252639,1.083474592,0.093908215,,,,,,,,,
184,2.82797446,7.315024558,1.072715819,0.096183002,3.041664588,7.947433591,1.083665771,0.093894401,,,,,,,,,
185,2.828182683,7.315999754,1.072379991,0.096168305,3.041491668,7.947720686,1.082879909,0.093874408,,,,,,,,,
186,2.827740203,7.314944614,1.072115767,0.096160229,3.041098788,7.946496934,1.082935785,0.093863643,,,,,,,,,
187,2.82699021,7.31326195,1.071575292,0.096133388,3.040447013,7.94492354,1.082572043,0.093845455,,,,,,,,,
188,2.827213898,7.313672056,1.071875458,0.096094179,3.040825709,7.94526475,1.083372938,0.093839438,,,,,,,,,
189,2.826696308,7.312462466,1.071507826,0.096118632,3.040119687,7.943883419,1.082640605,0.093835038,,,,,,,,,
190,2.826133249,7.310961169,1.071268882,0.096169697,3.039655735,7.94259376,1.082524367,0.09384908,,,,,,,,,
191,2.825326026,7.308737435,1.071132235,0.096108409,3.039531308,7.941766811,1.083013777,0.093813337,,,,,,,,,
192,2.825109653,7.308851853,1.070452445,0.09602466,3.038993371,7.941192962,1.08200939,0.093777762,,,,,,,,,
193,2.825078145,7.308245805,1.070992738,0.095995892,3.038746752,7.940328596,1.082151756,0.093759905,,,,,,,,,
194,2.824693518,7.307277091,1.070740008,0.096063456,3.039023178,7.940366825,1.08292311,0.0937796,,,,,,,,,
195,2.824874227,7.308343776,1.070245698,0.096033207,3.038668826,7.940191836,1.082064512,0.093750131,,,,,,,,,
196,2.824398903,7.307289044,1.069949393,0.095958273,3.038418573,7.939528569,1.082010775,0.093716376,,,,,,,,,
197,2.823977904,7.306057622,1.06985047,0.09602562,3.03809725,7.938296199,1.082261693,0.093733858,,,,,,,,,
198,2.823420147,7.304722078,1.069600824,0.095937537,3.037655829,7.93788288,1.081401966,0.093682642,,,,,,,,,
199,2.823524024,7.305148333,1.069499635,0.095924102,3.037588935,7.937423131,1.081668541,0.093675133,,,,,,,,,
200,2.82301441,7.303712766,1.069377079,0.095953385,3.037069976,7.935911984,1.081622412,0.093675532,,,,,,,,,
201,2.821910164,7.300969987,1.068869371,0.095891133,3.036470811,7.934563969,1.081212171,0.093636291,,,,,,,,,
202,2.821911505,7.301218775,1.068637953,0.095877789,3.03643752,7.934361916,1.081321101,0.093629542,,,,,,,,,
203,2.822051735,7.301252965,1.069039431,0.095862809,3.036599009,7.934474195,1.081699409,0.093623423,,,,,,,,,
204,2.821664736,7.300704959,1.068440293,0.095848957,3.036044301,7.933838053,1.080687119,0.09360773,,,,,,,,,
205,2.821647546,7.300509661,1.068586893,0.095846085,3.036108805,7.933614967,1.081107858,0.09360359,,,,,,,,,
206,2.821318324,7.30014347,1.067994183,0.09581732,3.035821208,7.933303115,1.080571593,0.093588916,,,,,,,,,
207,2.821120247,7.299547918,1.068020905,0.095791917,3.035622204,7.932840106,1.080450458,0.093576049,,,,,,,,,
208,2.820657858,7.297976773,1.068196294,0.095800508,3.03525096,7.931065105,1.081114223,0.093573552,,,,,,,,,
209,2.820232973,7.297330174,1.06760904,0.095759706,3.035039162,7.930654773,1.080905038,0.093557674,,,,,,,,,
210,2.820694766,7.298777323,1.067555766,0.09575121,3.035143714,7.931177286,1.080712417,0.093541441,,,,,,,,,
211,2.819476868,7.295641884,1.067054741,0.095733979,3.034500184,7.929969237,1.080014445,0.093516869,,,,,,,,,
212,2.819547557,7.295452943,1.067482198,0.09570753,3.034649077,7.929307136,1.081124569,0.093515526,,,,,,,,,
213,2.820069298,7.297650564,1.066852005,0.095705325,3.034631619,7.930238237,1.080158221,0.093498398,,,,,,,,,
214,2.81856658,7.293504168,1.066491842,0.09570373,3.033684507,7.927834114,1.07973869,0.093480717,,,,,,,,,
215,2.819193548,7.295024772,1.066882919,0.095672953,3.03410401,7.928429677,1.080408158,0.093474194,,,,,,,,,
216,2.818276133,7.292918398,1.066267816,0.095642184,3.033492398,7.927391573,1.07961911,0.09346651,,,,,,,,,
217,2.818232947,7.292470068,1.066511394,0.095717379,3.033280649,7.926277704,1.080080424,0.09348382,,,,,,,,,
218,2.818303052,7.292706575,1.066563569,0.095639011,3.032934251,7.925602496,1.079755997,0.093444261,,,,,,,,,
219,2.817275576,7.290768314,1.065449697,0.095608718,3.032594438,7.925021049,1.079340988,0.093421278,,,,,,,,,
220,2.81715511,7.290181287,1.065676223,0.09560782,3.032687745,7.925161149,1.079492067,0.093410017,,,,,,,,,
221,2.81734229,7.290660396,1.065745473,0.095621,3.032704618,7.924853848,1.079848056,0.093411951,,,,,,,,,
222,2.817024635,7.28977894,1.065695662,0.095599302,3.032285366,7.923590542,1.079873916,0.093391641,,,,,,,,,
223,2.816270219,7.288579838,1.064716588,0.09551423,3.031724523,7.92299267,1.078818862,0.093362035,,,,,,,,,
224,2.816394554,7.287720991,1.065887616,0.095575057,3.03173019,7.92246021,1.079361276,0.093369084,,,,,,,,,
225,2.816038328,7.287238499,1.065334806,0.09554168,3.031687668,7.922167842,1.079544601,0.09335056,,,,,,,,,
226,2.815952077,7.287002795,1.065351969,0.095501465,3.031459803,7.92202233,1.079033152,0.093323926,,,,,,,,,
227,2.816063238,7.287513476,1.065139263,0.095536976,3.031699071,7.921493794,1.080271176,0.093332244,,,,,,,,,
228,2.815558353,7.286454552,1.064723018,0.095497488,3.031312346,7.921387214,1.079237972,0.093311853,,,,,,,,,
