,train_scores,valid_scores
225,{'mean_absolute_error': 0.5980984433268487},{'mean_absolute_error': 1.1079822832334962}
226,{'mean_absolute_error': 0.5383463401716693},{'mean_absolute_error': 1.1724348051253366}
227,{'mean_absolute_error': 0.5636739884940795},{'mean_absolute_error': 1.1386759275486358}
228,{'mean_absolute_error': 0.6188353274801411},{'mean_absolute_error': 1.0704530434578587}
229,{'mean_absolute_error': 0.6058226402420478},{'mean_absolute_error': 1.1032083597415367}
230,{'mean_absolute_error': 0.5855963259452879},{'mean_absolute_error': 1.0814446704804028}
231,{'mean_absolute_error': 0.5630535425800938},{'mean_absolute_error': 1.118236250033472}
232,{'mean_absolute_error': 0.5594770490181447},{'mean_absolute_error': 1.1124053235347047}
233,{'mean_absolute_error': 0.6320105305339779},{'mean_absolute_error': 1.0983511092241784}
234,{'mean_absolute_error': 0.5756107277908168},{'mean_absolute_error': 1.1107886428423615}
235,{'mean_absolute_error': 0.5367162677880325},{'mean_absolute_error': 1.1771577775590665}
236,{'mean_absolute_error': 0.562285644093215},{'mean_absolute_error': 1.1392177831679582}
237,{'mean_absolute_error': 0.6409941145601257},{'mean_absolute_error': 1.1770942065452283}
238,{'mean_absolute_error': 0.5400004730381381},{'mean_absolute_error': 1.1553798999949507}
239,{'mean_absolute_error': 0.5359966222064775},{'mean_absolute_error': 1.119512841766454}
240,{'mean_absolute_error': 0.5990693688591214},{'mean_absolute_error': 1.1230191328931267}
241,{'mean_absolute_error': 0.5414373786946741},{'mean_absolute_error': 1.1480245695256726}
242,{'mean_absolute_error': 0.5403711024885532},{'mean_absolute_error': 1.1340342844229996}
243,{'mean_absolute_error': 0.5634393393108512},{'mean_absolute_error': 1.1460453155963322}
244,{'mean_absolute_error': 0.6076993527925901},{'mean_absolute_error': 1.120231859498552}
245,{'mean_absolute_error': 0.5779645642305458},{'mean_absolute_error': 1.0925176357838133}
246,{'mean_absolute_error': 0.5328271459834045},{'mean_absolute_error': 1.1639359331856411}
247,{'mean_absolute_error': 0.595690827728138},{'mean_absolute_error': 1.0581309816521618}
248,{'mean_absolute_error': 0.6134167627090141},{'mean_absolute_error': 1.1183381113427593}
249,{'mean_absolute_error': 0.5619048856702786},{'mean_absolute_error': 1.192517363204087}
