,train_mean,train_riso,train_eiso,train_vert,valid_mean,valid_riso,valid_eiso,valid_vert,,,,,,,,,,,,,,,,,,
116,2.843407114,7.354096421,1.079316099,0.096808821,3.056695848,7.986821649,1.088811342,0.094454553,,,,,,,,,,,,,,,,,,
117,2.842573658,7.351714127,1.079251874,0.096754972,3.056071315,7.984889451,1.088898486,0.094426009,,,,,,,,,,,,,,,,,,
118,2.842852885,7.353141216,1.078674592,0.096742847,3.056206649,7.985777587,1.088435856,0.094406505,,,,,,,,,,,,,,,,,,
119,2.841913323,7.350935473,1.078059048,0.096745449,3.055530973,7.983737772,1.088461608,0.094393539,,,,,,,,,,,,,,,,,,
120,2.842050779,7.351247599,1.078229373,0.096675366,3.055536644,7.984260519,1.088000279,0.094349135,,,,,,,,,,,,,,,,,,
121,2.841198673,7.349612029,1.077354417,0.096629574,3.054944933,7.982590764,1.087931337,0.094312699,,,,,,,,,,,,,,,,,,
122,2.840853919,7.349147155,1.07681179,0.096602812,3.054752648,7.982462906,1.087514864,0.094280174,,,,,,,,,,,,,,,,,,
123,2.840463078,7.348040244,1.076709422,0.096639568,3.054472311,7.981340292,1.087787668,0.094288974,,,,,,,,,,,,,,,,,,
124,2.8401847,7.347762407,1.076245476,0.096546215,3.054195717,7.980981009,1.087363308,0.094242835,,,,,,,,,,,,,,,,,,
125,2.839831957,7.347048162,1.075830134,0.096617575,3.053761495,7.980281766,1.086736721,0.094265999,,,,,,,,,,,,,,,,,,
126,2.839270947,7.345617895,1.075679555,0.096515391,3.053455781,7.979318837,1.086855527,0.094192978,,,,,,,,,,,,,,,,,,
127,2.839145935,7.345124666,1.075839599,0.096473539,3.053441654,7.978757336,1.087402018,0.094165609,,,,,,,,,,,,,,,,,,
128,2.838803592,7.344624627,1.07532317,0.096462979,3.053238853,7.978734205,1.086836626,0.094145727,,,,,,,,,,,,,,,,,,
129,2.838199182,7.343632416,1.074524522,0.096440609,3.052685866,7.977946805,1.085982775,0.094128019,,,,,,,,,,,,,,,,,,
130,2.837855758,7.343069051,1.074113555,0.096384669,3.052410745,7.977402642,1.085727578,0.094102014,,,,,,,,,,,,,,,,,,
131,2.838056708,7.343517139,1.074322246,0.096330738,3.052329676,7.977793561,1.08513443,0.094061038,,,,,,,,,,,,,,,,,,
132,2.837457913,7.341862175,1.074162625,0.096348938,3.052168327,7.976152867,1.08629544,0.094056674,,,,,,,,,,,,,,,,,,
133,2.837033659,7.341504382,1.07331941,0.096277185,3.051748609,7.975908375,1.085312755,0.094024696,,,,,,,,,,,,,,,,,,
134,2.836910073,7.341222209,1.073249463,0.096258548,3.051417606,7.97567697,1.084561966,0.094013881,,,,,,,,,,,,,,,,,,
135,2.836660969,7.340758491,1.072925044,0.096299371,3.051180522,7.975105913,1.084404039,0.094031615,,,,,,,,,,,,,,,,,,
136,2.835878378,7.338869422,1.07258287,0.096182843,3.050863674,7.973724332,1.084926431,0.093940261,,,,,,,,,,,,,,,,,,
137,2.835702307,7.338835788,1.072095186,0.096175946,3.050597044,7.973784059,1.084074539,0.093932533,,,,,,,,,,,,,,,,,,
138,2.835360407,7.337785047,1.07205792,0.096238254,3.050437738,7.972898054,1.084453119,0.093962042,,,,,,,,,,,,,,,,,,
139,2.835054991,7.337159039,1.071893258,0.096112676,3.050106392,7.971791371,1.084632744,0.093895061,,,,,,,,,,,,,,,,,,
140,2.834748504,7.336924305,1.071143162,0.096178045,3.049797238,7.971851901,1.08362417,0.093915643,,,,,,,,,,,,,,,,,,
141,2.834319544,7.335844142,1.071039077,0.096075414,3.049415714,7.971102048,1.083285253,0.09385984,,,,,,,,,,,,,,,,,,
