,train_scores,valid_scores
176,{'rms_score': 4.451104975165957},{'rms_score': 9.52392326142931}
177,{'rms_score': 4.766933325239194},{'rms_score': 9.278722518254243}
178,{'rms_score': 4.661197410310328},{'rms_score': 9.295596767239111}
179,{'rms_score': 4.768938685584876},{'rms_score': 9.653442489876445}
180,{'rms_score': 4.162748120610597},{'rms_score': 9.422004919131815}
181,{'rms_score': 4.286764375814705},{'rms_score': 9.375924315057263}
182,{'rms_score': 5.053509914047176},{'rms_score': 9.398446649333856}
183,{'rms_score': 4.779048857274734},{'rms_score': 9.577587085132238}
184,{'rms_score': 3.658901990449831},{'rms_score': 9.334813969361955}
185,{'rms_score': 5.7215009403745185},{'rms_score': 9.378327642614257}
186,{'rms_score': 5.331590725173795},{'rms_score': 9.400673344252656}
187,{'rms_score': 7.256539827368655},{'rms_score': 9.421859790772029}
188,{'rms_score': 6.064279570844181},{'rms_score': 9.415936711942862}
189,{'rms_score': 4.162653385004254},{'rms_score': 9.379766335854885}
190,{'rms_score': 4.727098959282928},{'rms_score': 9.666853520008047}
191,{'rms_score': 3.8727379436796916},{'rms_score': 9.41473503021395}
192,{'rms_score': 4.931233717853746},{'rms_score': 9.393174919944848}
193,{'rms_score': 4.393794698888476},{'rms_score': 9.53790835747568}
194,{'rms_score': 4.8110897087687405},{'rms_score': 9.538222587762343}
195,{'rms_score': 8.367088201446151},{'rms_score': 9.51392494294753}
196,{'rms_score': 6.737477725262823},{'rms_score': 9.461934069193633}
197,{'rms_score': 5.7185951683254945},{'rms_score': 9.383186401442984}
198,{'rms_score': 4.871167090850676},{'rms_score': 9.370329719666485}
199,{'rms_score': 4.946593411743455},{'rms_score': 9.291979897610007}
200,{'rms_score': 3.713526423084342},{'rms_score': 9.342396889826949}
201,{'rms_score': 4.010694296675313},{'rms_score': 9.421334225618718}
202,{'rms_score': 4.627665407456296},{'rms_score': 9.360706720173765}
203,{'rms_score': 5.800201739752241},{'rms_score': 9.543094142248231}
204,{'rms_score': 5.038436617524996},{'rms_score': 9.533051537926118}
205,{'rms_score': 3.6756625195990638},{'rms_score': 9.345053847080358}
206,{'rms_score': 4.069995883367215},{'rms_score': 9.383553589405718}
207,{'rms_score': 4.503056372935578},{'rms_score': 9.400292602897348}
208,{'rms_score': 4.131189798569798},{'rms_score': 9.499818075413561}
209,{'rms_score': 4.207588244994491},{'rms_score': 9.524481205325248}
210,{'rms_score': 4.358198602327179},{'rms_score': 9.337954326080439}
211,{'rms_score': 4.345163474438369},{'rms_score': 9.347448309162148}
212,{'rms_score': 3.622622022850596},{'rms_score': 9.347728342655508}
213,{'rms_score': 3.8359251832861117},{'rms_score': 9.401639438593827}
214,{'rms_score': 3.828606591467141},{'rms_score': 9.393576911445503}
215,{'rms_score': 3.7749651081204445},{'rms_score': 9.302200122323587}
216,{'rms_score': 4.250453083089262},{'rms_score': 9.335564759995883}
217,{'rms_score': 5.39400952752362},{'rms_score': 9.354399731437333}
218,{'rms_score': 5.463032697270687},{'rms_score': 9.474794000195322}
219,{'rms_score': 6.313500430917108},{'rms_score': 9.420654460487674}
220,{'rms_score': 5.037900468906895},{'rms_score': 9.35719376851687}
221,{'rms_score': 3.624282158802628},{'rms_score': 9.318752801953986}
222,{'rms_score': 3.9950252694850774},{'rms_score': 9.412731859840926}
223,{'rms_score': 5.3225603120463285},{'rms_score': 9.422983759845938}
224,{'rms_score': 4.829264930521129},{'rms_score': 9.390666480270951}
225,{'rms_score': 3.7850933746783646},{'rms_score': 9.39243518436227}
226,{'rms_score': 3.6270349449855264},{'rms_score': 9.32846592723698}
227,{'rms_score': 3.4996975811665134},{'rms_score': 9.311608828472584}
228,{'rms_score': 4.246880247498605},{'rms_score': 9.408030605384512}
229,{'rms_score': 4.573088408658832},{'rms_score': 9.379802888032042}
230,{'rms_score': 3.7816479622401964},{'rms_score': 9.284700744667463}
231,{'rms_score': 3.781935294622104},{'rms_score': 9.297759780525858}
232,{'rms_score': 4.183089277501532},{'rms_score': 9.378182107086593}
233,{'rms_score': 6.060502551171622},{'rms_score': 9.382496254953377}
234,{'rms_score': 5.982354128410786},{'rms_score': 9.324748688389867}
235,{'rms_score': 4.554543050507879},{'rms_score': 9.324103565258822}
236,{'rms_score': 3.7477089919701565},{'rms_score': 9.363593116090636}
237,{'rms_score': 5.6647135144843626},{'rms_score': 9.428825828017414}
238,{'rms_score': 5.495314163774794},{'rms_score': 9.306990243725457}
239,{'rms_score': 3.858835480942559},{'rms_score': 9.322362955724278}
240,{'rms_score': 3.564070434056781},{'rms_score': 9.308418053834112}
241,{'rms_score': 5.328910658266363},{'rms_score': 9.385555892278846}
242,{'rms_score': 3.0638136718384383},{'rms_score': 9.309418570204064}
243,{'rms_score': 4.7270364270269996},{'rms_score': 9.328104104273365}
244,{'rms_score': 5.163633168805538},{'rms_score': 9.393239504583844}
245,{'rms_score': 3.371271279795251},{'rms_score': 9.293695757875208}
246,{'rms_score': 3.4063660672361267},{'rms_score': 9.373790653680599}
247,{'rms_score': 4.50084603971361},{'rms_score': 9.379596508262802}
248,{'rms_score': 4.998357584867212},{'rms_score': 9.329549561725006}
249,{'rms_score': 3.7554307287711888},{'rms_score': 9.308398001148213}
250,{'rms_score': 3.1293475410136646},{'rms_score': 9.31481786827426}
251,{'rms_score': 4.387400585947788},{'rms_score': 9.470551416816699}
252,{'rms_score': 4.075579076399358},{'rms_score': 9.357142823583866}
253,{'rms_score': 4.029411675306948},{'rms_score': 9.354584920237004}
254,{'rms_score': 3.722751866334536},{'rms_score': 9.342553743409358}
255,{'rms_score': 4.020328613181604},{'rms_score': 9.408560915622674}
256,{'rms_score': 3.650401797366345},{'rms_score': 9.355111586540895}
257,{'rms_score': 3.5682984502516675},{'rms_score': 9.349835873187555}
258,{'rms_score': 4.766565462808753},{'rms_score': 9.40721604070577}
259,{'rms_score': 4.255523685875033},{'rms_score': 9.366047708059247}
260,{'rms_score': 3.69545465236076},{'rms_score': 9.390021422532731}
261,{'rms_score': 3.791880030367901},{'rms_score': 9.393121283424987}
262,{'rms_score': 6.01096026507885},{'rms_score': 9.381608720913583}
263,{'rms_score': 5.911260543331279},{'rms_score': 9.36933500421855}
264,{'rms_score': 4.511727895195942},{'rms_score': 9.290561838307148}
265,{'rms_score': 5.314283725161398},{'rms_score': 9.358816633842654}
266,{'rms_score': 4.798250082945459},{'rms_score': 9.421103924620919}
267,{'rms_score': 4.057726417909817},{'rms_score': 9.443691448070268}
268,{'rms_score': 4.569596860605045},{'rms_score': 9.425263528483606}
269,{'rms_score': 4.290531177680523},{'rms_score': 9.447860503716411}
270,{'rms_score': 4.504548083184613},{'rms_score': 9.293289250157043}
271,{'rms_score': 3.4907193202207476},{'rms_score': 9.360096666938682}
272,{'rms_score': 4.037972909777033},{'rms_score': 9.441162754666058}
273,{'rms_score': 3.5228475007708764},{'rms_score': 9.363398626329754}
274,{'rms_score': 3.7990945094148167},{'rms_score': 9.380793133148481}
275,{'rms_score': 4.738926154788124},{'rms_score': 9.404811607086263}
276,{'rms_score': 3.4230317905368577},{'rms_score': 9.346101084843399}
277,{'rms_score': 3.351738859630285},{'rms_score': 9.332282411724115}
278,{'rms_score': 3.7002221538378377},{'rms_score': 9.41880551839452}
279,{'rms_score': 3.9067842073001406},{'rms_score': 9.351681655165608}
280,{'rms_score': 3.676018244211915},{'rms_score': 9.373384280298188}
281,{'rms_score': 4.299212239230358},{'rms_score': 9.38153733848274}
282,{'rms_score': 3.6276064392799743},{'rms_score': 9.351499560456311}
283,{'rms_score': 4.602639853085088},{'rms_score': 9.39397297430272}
284,{'rms_score': 3.379750720437562},{'rms_score': 9.373202623391734}
285,{'rms_score': 3.248059571431181},{'rms_score': 9.339783032600721}
286,{'rms_score': 3.373028336650581},{'rms_score': 9.32206204528086}
287,{'rms_score': 4.119540781194637},{'rms_score': 9.378100094035744}
288,{'rms_score': 6.120463652846461},{'rms_score': 9.444958887815924}
289,{'rms_score': 5.325456092238707},{'rms_score': 9.368185857777052}
290,{'rms_score': 3.24230400495882},{'rms_score': 9.297704403041188}
291,{'rms_score': 3.891673918384395},{'rms_score': 9.30783368735452}
292,{'rms_score': 4.2681740766014284},{'rms_score': 9.316722346409426}
293,{'rms_score': 5.248400456131315},{'rms_score': 9.389338041539927}
294,{'rms_score': 4.500948613808342},{'rms_score': 9.388193400641818}
295,{'rms_score': 3.3396808305805887},{'rms_score': 9.317215635240693}
296,{'rms_score': 3.341477088862145},{'rms_score': 9.360417593045995}
297,{'rms_score': 3.8027328898835373},{'rms_score': 9.39944719777381}
298,{'rms_score': 3.6969272848541466},{'rms_score': 9.393138674480394}
299,{'rms_score': 3.522051191106631},{'rms_score': 9.316638749598388}
300,{'rms_score': 4.852287933633337},{'rms_score': 9.526182636957659}
301,{'rms_score': 5.6699136538329284},{'rms_score': 9.41577215526744}
302,{'rms_score': 4.615239001263898},{'rms_score': 9.42099571011757}
303,{'rms_score': 4.0547700560094375},{'rms_score': 9.490125907799428}
304,{'rms_score': 3.9365966587871424},{'rms_score': 9.456038524329713}
305,{'rms_score': 4.235421607317117},{'rms_score': 9.509062458420711}
306,{'rms_score': 4.885290684958571},{'rms_score': 9.437625779946094}
307,{'rms_score': 4.355288216498431},{'rms_score': 9.361417875468426}
308,{'rms_score': 3.225031693894934},{'rms_score': 9.331862704088433}
